job_id,job_title,employer_name,job_city,job_state,job_country,job_is_remote,job_employment_type,job_min_salary,job_max_salary,job_salary_currency,job_salary_period,job_description,job_apply_link,job_posted_at_datetime,job_publisher,job_required_experience,job_required_skills,job_required_education,job_benefits,job_google_link,job_offer_expiration_datetime
VKD7xn89fga6UZL-AAAAAA==,"Programador/a Python Jr (para Backend y Datos). 1 día/presencial y 4 remoto - Madrid, España",Sandav,Madrid,Madrid,ES,False,A tiempo completo,,,,,"Desde Sandav estamos buscando un/a Programador/a python para proyecto ESTABLE de mantenimiento y nuevos evolutivos y funcionalidades, en cliente ubicado en Las Rozas, dedicado al sector inmobiliario. Se trabajará 4 días en teletrabajo y 1 día por semana presencial (zona Renfe: Pinas de las Rozas). Buscamos un perfil junior en torno a 1-2 años de experiencia en python, que quiera desarrollarse en temas de data y backend. Requisitos • Al menos 1-2 años de experiencia demostrada en programación con...",https://es.linkedin.com/jobs/view/programador-a-python-jr-para-backend-y-datos-1-d%C3%ADa-presencial-y-4-remoto-madrid-espa%C3%B1a-at-sandav-4294227016?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,LinkedIn,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DVKD7xn89fga6UZL-AAAAAA%3D%3D&vssid=jobs-detail-viewer,
qZYuIuf1s2O4f9QOAAAAAA==,Sr Python Backend Developer,Ambar Partners,Madrid,Madrid,ES,False,A tiempo completo,,,,,"Damos fe 👩🏻‍🎓: en Ambar Partners, una legaltech que está revolucionando el sector legal, trabajan de forma más ágil y eficiente. El futuro del derecho no va de grandes despachos ni jerarquías infinitas, sino de libertad, comunidad y tecnología al servicio de las personas. Si quieres marcar la diferencia y cambiar el juego legal… ¡Scrollea hacia abajo, te lo contamos to-do!...",https://www.getmanfred.com/ofertas-empleo/8110/ambar-partners-sr-python-backend-developer-sept25?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Manfred,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DqZYuIuf1s2O4f9QOAAAAAA%3D%3D&vssid=jobs-detail-viewer,
eIDrJn0tBTBjw_AeAAAAAA==,SOFTWARE DEVELOPER PYTHON,IDential Global Consulting,Madrid,Madrid,ES,False,A tiempo completo,,,,,"En IDential necesitamos contratar desarrolladores con experiencia en Python, Bash o Go para uno de nuestro clientes lideres en su sector en uno de sus proyectos. Además de las tecnologías mencionadas, será necesario tener conocimientos en la nube y también, de herramientas de IaC como pueden ser Terraform o CloudFormation. ¿QUÉ PODEMOS OFRECERTE? • Incorporación Inmediata • Proyecto estable. • Trabajo fundamentalmente en remoto remoto. • Horario flexible. • Desarrollo personal y profesional. REQ...",https://es.linkedin.com/jobs/view/software-developer-python-at-idential-global-consulting-4293176699?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,LinkedIn,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DeIDrJn0tBTBjw_AeAAAAAA%3D%3D&vssid=jobs-detail-viewer,
yw75ipCdWaBL0o6bAAAAAA==,"Python AI / Google ADK, Madrid",Plexus,Madrid,Madrid,ES,False,A tiempo completo,,,,,"Python AI / Google ADK Details Join Plexus Tech. We are seeking a professional with proven experience in projects involving agent frameworks such as Google ADK and LangChain, to participate in the development of advanced semantic processing and document automation solutions. Requirements: • Hands-on experience with Google ADK and LangChain. • Deep knowledge of technical documentation transformation. • Proficiency in PostgreSQL and experience with vector databases. • Training and experience with ...",https://www.jobted.es/job/8b3e4e03e3147c5d737096390283cfe7?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobted,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3Dyw75ipCdWaBL0o6bAAAAAA%3D%3D&vssid=jobs-detail-viewer,
bkqt4SV_CnCZAPh5AAAAAA==,Programador /a Senior Python – Contabilidad Pública,ATM Grupo Maggioli,Madrid,Madrid,ES,False,A tiempo completo,,,,,"En ATM Grupo Maggioli, estamos buscando un/a Programador/a Senior de Python para incorporarse a nuestro Departamento de Contabilidad Pública, con el objetivo de desarrollar, mantener y optimizar nuestro Sistema Contable para la Administración Local. Funciones • Desarrollar y evolucionar aplicaciones y servicios en Python orientados a la Administración Local. • Participar en proyectos de integración y migración de datos entre sistemas heredados y nuevas plataformas. • Garantizar la calidad del có...",https://es.linkedin.com/jobs/view/programador-a-senior-python-%E2%80%93-contabilidad-p%C3%BAblica-at-atm-grupo-maggioli-4293195604?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,LinkedIn,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3Dbkqt4SV_CnCZAPh5AAAAAA%3D%3D&vssid=jobs-detail-viewer,
s8SNEOeavnkn57VPAAAAAA==,Programador Python,AERTEC Solutions,Madrid,Madrid,ES,False,A tiempo completo,,,,,"Descripción del puesto: Estamos en la búsqueda de una persona con amplios conocimientos en programación y diseño basado en modelos, altamente motivado a embarcarse en nuevos retos. El candidato seleccionado se integrará en un equipo, colaborando en el desarrollo y validación de sistemas mediante herramientas avanzadas de modelado y simulación. Requisitos: • Titulación en Ingeniería Aeronáutica, Electrónica o Telecomunicaciones, muy valorables Física e Ingeniería Informática. • Solidos conocimien...",https://es.indeed.com/viewjob?jk=224fc98aff768e43&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Indeed,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3Ds8SNEOeavnkn57VPAAAAAA%3D%3D&vssid=jobs-detail-viewer,
v5KoNDCQUA_WGxxGAAAAAA==,"Python, Bash & Go Developer",Aderen,,,ES,False,A tiempo completo,,,,,"BUSCAMOS: Python, Bash & Go Developer Profesional con experiencia contrastada como Python, Bash yGO developer y más de 5 años de experiencia en entornos técnicos similares. Experiencia& Conocimientos Imprescindibles ● Más de 5años de experiencia en entornos técnicos similares. ● Dominiode flujos de trabajo con Git ● Conocimientossólidos en infraestructura cloud, (preferentemente en AWS o Google CloudPlatform) ● Experienciaen infraestructura como código utilizando Terraform o CloudFormation ● Man...",https://www.itjobs.es/empleo/38064/python-bash-go-developer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,ITJobs,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3Dv5KoNDCQUA_WGxxGAAAAAA%3D%3D&vssid=jobs-detail-viewer,
oGUC2xvTR1L63DL9AAAAAA==,Programador/a Python Jr (para Backend y Datos). 1 día/presencial y 4 remoto,SANDAV,Madrid,Madrid,ES,False,A tiempo completo,,,,,"Desde Sandav estamos buscando un/a Programador/a python para proyecto ESTABLE de mantenimiento y nuevos evolutivos y funcionalidades, en cliente ubicado en Las Rozas, dedicado al sector inmobiliario. Se trabajará 4 días en teletrabajo y 1 día por semana presencial (zona Renfe: Pinas de las Rozas). Buscamos un perfil junior en torno a 1-2 años de experiencia en python, que quiera desarrollarse en temas de data y backend. Requisitos: Al menos 1-2 años de experiencia demostrada en programación con ...",https://ticjob.es/esp/trabajo/programador-python-jr-backend-datos-1-dia-presencial-4-remoto/69238?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Ticjob,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DoGUC2xvTR1L63DL9AAAAAA%3D%3D&vssid=jobs-detail-viewer,
sYUwKJ3_u0ilCYqjAAAAAA==,Desarrollador PYTHON - IoT (TELETRABAJO),Hasten Group,Madrid,Madrid,ES,False,A tiempo completo,,,,,"Localidad Madrid Nº Vacantes (puestos) 1 Funciones En Grupo Hasten estamos seleccionando un/a Programador/a Python con al menos 3 años de experiencia orientado a temas de IOT y buen nivel de ingles, para unirse a uno de nuestros clientes en modalidad de 100% teletrabajo. Requisitos • Dominio avanzado de Python, incluyendo: (Mínimo 3 años de experiencia) Automatización y procesamiento de datos Integración con dispositivos IoT o sistemas industriales mediante protocolos como Modbus, OPC-UA, MQTT o...",https://es.linkedin.com/jobs/view/desarrollador-python-iot-teletrabajo-at-hasten-group-4289304104?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,LinkedIn,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DsYUwKJ3_u0ilCYqjAAAAAA%3D%3D&vssid=jobs-detail-viewer,
rxWoVAemQnoi8NymAAAAAA==,Senior Python Engineer,Accenture,Madrid,Madrid,ES,False,A tiempo completo,,,,,At Accenture we believe in technology as the engine for the total reinvention of the company. We work with the leading platforms and partners in the market to drive our clients businesses through digitalization AI and data. If you want to be part of a Great Place To Work and join a team of over 801000 professionals worldwide keep reading What will you be doing - Design and implement backend architectures based on microservices using Python and modern frameworks like FastAPI. - Build APIs followi...,https://www.tecnoempleo.com/senior-python-engineer-accenture/python/rf-027311ca22ac03348c42?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Tecnoempleo,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DrxWoVAemQnoi8NymAAAAAA%3D%3D&vssid=jobs-detail-viewer,
N6ldXmhdXA68D5YzAAAAAA==,Medior Software Engineer with python. Madrid.,ALTEN Delivery Centre Spain,,,ES,False,A tiempo completo,,,,,Are you looking for the next challenge in your career? Would you like to be part of an exciting highly qualified team of professionals in an international environment? We are currently looking for a 2- 4 years experience qualified python Developer Join an international division and work alongside with some of the most talented engineers and technicians from all over the world. Your benefits: • Competitive Salary. • Long-term secure contract. • International Project with top technologies • Possib...,https://www.adzuna.es/details/5382478470?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Adzuna,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DN6ldXmhdXA68D5YzAAAAAA%3D%3D&vssid=jobs-detail-viewer,
LoE1gSzH8NxTvlHYAAAAAA==,Docente Programación Python,Tokio School,Madrid,Madrid,ES,False,A tiempo completo,,,,,"Descripción: En Tokio School buscamos un profesional que nos apoye en nuestro curso de Programación Python ¿Te buscamos a ti? Maybe… Te incorporarías cuanto antes a una escuela de formación online tecnológica (aquí se forman los mejores samuráis digitales). Actualmente estamos buscando a un docente para nuestra formación. Si has trabajado en el sector, y te ilusiona compartir tu conocimiento y experiencia con nuestro alumnado, ¡entonces sigue leyendo! ¿Cuáles serán tus funciones? Como docente es...",https://es.indeed.com/viewjob?jk=642c4b9c1306b028&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Indeed,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DLoE1gSzH8NxTvlHYAAAAAA%3D%3D&vssid=jobs-detail-viewer,
ueGbV-E9XQj5QHUgAAAAAA==,Programador Python orientado a datos,etalentum Selección,Madrid,Madrid,ES,False,A tiempo completo,,,,,Empresa del sector socio-sanitario necesita incorporar un programador con amplia experiencia en Python para el desarrollo de servicios de analítica de datos en el ámbito de la prevención y el cuidado de la salud mediante dispositivos IoT Funciones y responsabilidades: - Desarrollar servicios necesarios para el departamento de análisis de datos. - Construcción de dashboards que solucionen las necesidades del equipo de análisis de datos: visualización de análisis estadísticos y datos generados por...,https://es.linkedin.com/jobs/view/programador-python-orientado-a-datos-at-etalentum-selecci%C3%B3n-4291567736?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,LinkedIn,,,,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DueGbV-E9XQj5QHUgAAAAAA%3D%3D&vssid=jobs-detail-viewer,
